time,open,high,low,close,tick_volume,spread,real_volume,low_time,high_time
2019-01-16 08:00:00,1.28667,1.28946,1.28414,1.28744,22632,12,0,2019-01-16 08:30:00,2019-01-16 10:00:00
2019-01-16 12:00:00,1.28744,1.28898,1.28401,1.2849,22142,12,0,2019-01-16 14:00:00,2019-01-16 14:30:00
2019-01-16 16:00:00,1.28489,1.2894,1.28421,1.28527,23260,12,0,2019-01-16 19:30:00,2019-01-16 17:00:00
2019-01-16 20:00:00,1.28525,1.28966,1.28451,1.2877,12943,6,0,2019-01-16 20:00:00,2019-01-16 22:00:00
2019-01-17 00:00:00,1.28771,1.28899,1.28761,1.28841,7849,12,0,2019-01-17 00:00:00,2019-01-17 01:30:00
2019-01-17 04:00:00,1.28841,1.28866,1.28634,1.28778,6284,6,0,2019-01-17 07:00:00,2019-01-17 04:00:00
2019-01-17 08:00:00,1.28777,1.28835,1.28313,1.2879,17798,12,0,2019-01-17 10:00:00,2019-01-17 11:00:00
2019-01-17 12:00:00,1.28792,1.29235,1.28691,1.29129,26125,12,0,2019-01-17 12:30:00,2019-01-17 15:00:00
2019-01-17 16:00:00,1.29129,1.29637,1.28816,1.29608,25433,12,0,2019-01-17 17:30:00,2019-01-17 19:00:00
2019-01-17 20:00:00,1.29608,1.30002,1.29593,1.29843,15644,12,0,2019-01-17 20:00:00,2019-01-17 21:30:00
2019-01-18 00:00:00,1.29842,1.29929,1.29657,1.29853,7361,11,0,2019-01-18 02:30:00,2019-01-18 00:30:00
2019-01-18 04:00:00,1.29853,1.29925,1.29668,1.29751,5905,8,0,2019-01-18 05:30:00,2019-01-18 04:00:00
2019-01-18 08:00:00,1.29751,1.29855,1.29262,1.29383,15228,12,0,2019-01-18 11:00:00,2019-01-18 08:00:00
2019-01-18 12:00:00,1.29383,1.29616,1.29263,1.29287,19278,12,0,2019-01-18 14:00:00,2019-01-18 13:00:00
2019-01-18 16:00:00,1.29287,1.29386,1.28795,1.28856,26608,12,0,2019-01-18 19:30:00,2019-01-18 16:00:00
2019-01-18 20:00:00,1.28856,1.28924,1.28561,1.28739,11206,12,0,2019-01-18 22:30:00,2019-01-18 20:00:00
2019-01-21 00:00:00,1.28714,1.28788,1.28469,1.28643,6824,10,0,2019-01-21 01:30:00,2019-01-21 00:00:00
2019-01-21 04:00:00,1.28643,1.28703,1.28568,1.28678,5694,10,0,2019-01-21 04:30:00,2019-01-21 07:30:00
2019-01-21 08:00:00,1.28678,1.28776,1.28297,1.28342,14319,12,0,2019-01-21 11:30:00,2019-01-21 09:00:00
2019-01-21 12:00:00,1.28342,1.28853,1.28303,1.28595,15429,12,0,2019-01-21 12:00:00,2019-01-21 14:30:00
2019-01-21 16:00:00,1.28595,1.29099,1.28459,1.28956,17452,12,0,2019-01-21 17:30:00,2019-01-21 18:00:00
